,id,text
0,2127,Inside of a barrack Watercolour drawing Translated from the Hungarian Inside of a barrack Watercolour drawing Translated from the Hungarian Inside of a barrack Watercolour drawing Translated from the Hungarian Inside of a barrack Watercolour drawing Translated from the Hungarian Inside of a barrack Watercolour drawing Translated from the Hungarian Inside of a barrack Watercolour drawing Translated from the Hungarian Inside of a barrack Watercolour drawing Translated from the Hungarian Inside of a barrack Watercolour drawing Translated from the Hungarian
1,2128,"Kitchen after liberation (NARA) ""Doorway to cook house at former Nazi Prison Camp at Belsen, Germany. British troops of the 2nd army now operate the camp. "" Kitchen after liberation (NARA) ""Doorway to cook house at former Nazi Prison Camp at Belsen, Germany. British troops of the 2nd army now operate the camp. "" Kitchen after liberation (NARA) ""Doorway to cook house at former Nazi Prison Camp at Belsen, Germany. British troops of the 2nd army now operate the camp. "" Kitchen after liberation (NARA) ""Doorway to cook house at former Nazi Prison Camp at Belsen, Germany. British troops of the 2nd army now operate the camp. "" Kitchen after liberation (NARA) ""Doorway to cook house at former Nazi Prison Camp at Belsen, Germany. British troops of the 2nd army now operate the camp. "" Kitchen after liberation (NARA) ""Doorway to cook house at former Nazi Prison Camp at Belsen, Germany. British troops of the 2nd army now operate the camp. "" Kitchen after liberation (NARA) ""Doorway to cook house at former Nazi Prison Camp at Belsen, Germany. British troops of the 2nd army now operate the camp. """
2,2129,"""OH Bread!"" Hand-drawn postcard ""OH Bread!"" Hand-drawn postcard ""OH Bread!"" Hand-drawn postcard ""OH Bread!"" Hand-drawn postcard ""OH Bread!"" Hand-drawn postcard ""OH Bread!"" Hand-drawn postcard ""OH Bread!"" Hand-drawn postcard"
3,2130,"""Mess Kits to the Gate!"" Drawing from Rajs's diary Translated from the Hungarian ""Mess Kits to the Gate!"" Drawing from Rajs's diary Translated from the Hungarian ""Mess Kits to the Gate!"" Drawing from Rajs's diary Translated from the Hungarian ""Mess Kits to the Gate!"" Drawing from Rajs's diary Translated from the Hungarian ""Mess Kits to the Gate!"" Drawing from Rajs's diary Translated from the Hungarian ""Mess Kits to the Gate!"" Drawing from Rajs's diary Translated from the Hungarian ""Mess Kits to the Gate!"" Drawing from Rajs's diary Translated from the Hungarian ""Mess Kits to the Gate!"" Drawing from Rajs's diary Translated from the Hungarian ""Mess Kits to the Gate!"" Drawing from Rajs's diary Translated from the Hungarian"
4,2131,"Bread, 1944 Charcoal drawing Bread, 1944 Charcoal drawing Bread, 1944 Charcoal drawing Bread, 1944 Charcoal drawing Bread, 1944 Charcoal drawing Bread, 1944 Charcoal drawing Bread, 1944 Charcoal drawing"
5,2132,(Missing Title; NARA) (Missing Title; NARA) (Missing Title; NARA) (Missing Title; NARA) (Missing Title; NARA) (Missing Title; NARA)
6,2133,"""Bergen-Belsen corpse detail, April 1945"" ""Bergen-Belsen corpse detail, April 1945"" ""Bergen-Belsen corpse detail, April 1945"" ""Bergen-Belsen corpse detail, April 1945"" ""Bergen-Belsen corpse detail, April 1945"" ""Bergen-Belsen corpse detail, April 1945"" ""Bergen-Belsen corpse detail, April 1945"" ""Bergen-Belsen corpse detail, April 1945"" ""Bergen-Belsen corpse detail, April 1945"""
7,2134,"Roll Call - Belsen, 1944 Birkin survived the Bergen-Belsen concentration camp and painted this piece in 1990 in London.  Roll Call - Belsen, 1944 Birkin survived the Bergen-Belsen concentration camp and painted this piece in 1990 in London.  Roll Call - Belsen, 1944 Birkin survived the Bergen-Belsen concentration camp and painted this piece in 1990 in London.  Roll Call - Belsen, 1944 Birkin survived the Bergen-Belsen concentration camp and painted this piece in 1990 in London.  Roll Call - Belsen, 1944 Birkin survived the Bergen-Belsen concentration camp and painted this piece in 1990 in London.  Roll Call - Belsen, 1944 Birkin survived the Bergen-Belsen concentration camp and painted this piece in 1990 in London.  Roll Call - Belsen, 1944 Birkin survived the Bergen-Belsen concentration camp and painted this piece in 1990 in London.  Roll Call - Belsen, 1944 Birkin survived the Bergen-Belsen concentration camp and painted this piece in 1990 in London. "
8,2135,"A Young Boy From Belsen Concentration Camp, 1945 Taylor was one of several artists who saw the camp shortly after it was liberated. Taylor captures the state of numbed emotion, common to so many survivors: ""I drew the dead and scarcely living people when Belsen concentration camp was overrun, and I witnessed at first hand all the other appalling horrors of war. To me, any attempt to explain in words the overall influence of this experience on my work appears to weaken what I endeavor to say in my painting or sculpture. It means so very much."" A full-length portrait of a clothed, skeletal boy sitting on a stool. His clothing does not cover his arms and legs, which are extremely thin, displaying that he is suffering from starvation. A Young Boy From Belsen Concentration Camp, 1945 Taylor was one of several artists who saw the camp shortly after it was liberated. Taylor captures the state of numbed emotion, common to so many survivors: ""I drew the dead and scarcely living people when Belsen concentration camp was overrun, and I witnessed at first hand all the other appalling horrors of war. To me, any attempt to explain in words the overall influence of this experience on my work appears to weaken what I endeavor to say in my painting or sculpture. It means so very much."" A full-length portrait of a clothed, skeletal boy sitting on a stool. His clothing does not cover his arms and legs, which are extremely thin, displaying that he is suffering from starvation. A Young Boy From Belsen Concentration Camp, 1945 Taylor was one of several artists who saw the camp shortly after it was liberated. Taylor captures the state of numbed emotion, common to so many survivors: ""I drew the dead and scarcely living people when Belsen concentration camp was overrun, and I witnessed at first hand all the other appalling horrors of war. To me, any attempt to explain in words the overall influence of this experience on my work appears to weaken what I endeavor to say in my painting or sculpture. It means so very much."" A full-length portrait of a clothed, skeletal boy sitting on a stool. His clothing does not cover his arms and legs, which are extremely thin, displaying that he is suffering from starvation. A Young Boy From Belsen Concentration Camp, 1945 Taylor was one of several artists who saw the camp shortly after it was liberated. Taylor captures the state of numbed emotion, common to so many survivors: ""I drew the dead and scarcely living people when Belsen concentration camp was overrun, and I witnessed at first hand all the other appalling horrors of war. To me, any attempt to explain in words the overall influence of this experience on my work appears to weaken what I endeavor to say in my painting or sculpture. It means so very much."" A full-length portrait of a clothed, skeletal boy sitting on a stool. His clothing does not cover his arms and legs, which are extremely thin, displaying that he is suffering from starvation. A Young Boy From Belsen Concentration Camp, 1945 Taylor was one of several artists who saw the camp shortly after it was liberated. Taylor captures the state of numbed emotion, common to so many survivors: ""I drew the dead and scarcely living people when Belsen concentration camp was overrun, and I witnessed at first hand all the other appalling horrors of war. To me, any attempt to explain in words the overall influence of this experience on my work appears to weaken what I endeavor to say in my painting or sculpture. It means so very much."" A full-length portrait of a clothed, skeletal boy sitting on a stool. His clothing does not cover his arms and legs, which are extremely thin, displaying that he is suffering from starvation. A Young Boy From Belsen Concentration Camp, 1945 Taylor was one of several artists who saw the camp shortly after it was liberated. Taylor captures the state of numbed emotion, common to so many survivors: ""I drew the dead and scarcely living people when Belsen concentration camp was overrun, and I witnessed at first hand all the other appalling horrors of war. To me, any attempt to explain in words the overall influence of this experience on my work appears to weaken what I endeavor to say in my painting or sculpture. It means so very much."" A full-length portrait of a clothed, skeletal boy sitting on a stool. His clothing does not cover his arms and legs, which are extremely thin, displaying that he is suffering from starvation."
9,2136,Distribution of the lunch Watercolour drawing Vertaald uit het Hongaars Distribution of the lunch Watercolour drawing Vertaald uit het Hongaars Distribution of the lunch Watercolour drawing Vertaald uit het Hongaars Distribution of the lunch Watercolour drawing Vertaald uit het Hongaars Distribution of the lunch Watercolour drawing Vertaald uit het Hongaars Distribution of the lunch Watercolour drawing Vertaald uit het Hongaars Distribution of the lunch Watercolour drawing Vertaald uit het Hongaars Distribution of the lunch Watercolour drawing Vertaald uit het Hongaars
